iter	RMSE
0	14.48906053
1	14.02225494
2	13.60354732
3	13.15919147
4	12.75735
5	12.41433471
6	12.04332751
7	11.7159182
8	11.40918526
9	11.06317149
10	10.74512018
11	10.47284173
12	10.22645161
13	9.996941914
14	9.738907396
15	9.483581501
16	9.248762967
17	9.044423454
18	8.830480782
19	8.640430273
20	8.469232316
21	8.293038317
22	8.134457778
23	7.971516779
24	7.817057171
25	7.687055177
26	7.568147707
27	7.468289508
28	7.347085123
29	7.238066519
30	7.129730794
31	7.024393974
32	6.925199123
33	6.847811332
34	6.755863872
35	6.668564977
36	6.593058094
37	6.524365189
38	6.462115348
39	6.400842955
40	6.344499875
41	6.293484608
42	6.24087202
43	6.198546265
44	6.147335606
45	6.093775884
46	6.050513246
47	6.006693727
48	5.96089276
49	5.918196519
50	5.88272917
51	5.8511336
52	5.81584368
53	5.782817455
54	5.752000872
55	5.726572835
56	5.698917139
57	5.676518895
58	5.655940507
59	5.636103831
60	5.611404849
61	5.588301345
62	5.565889892
63	5.539865651
64	5.520455813
65	5.499997499
66	5.48268047
67	5.461563181
68	5.449566952
69	5.431414573
70	5.411391195
71	5.401950923
72	5.389055706
73	5.376409829
74	5.362883706
75	5.351001093
76	5.342058679
77	5.333472939
78	5.323751558
79	5.308601135
80	5.304390939
81	5.292213733
82	5.28120348
83	5.270115932
84	5.264979551
85	5.255314542
86	5.250781355
87	5.236993842
88	5.223666913
89	5.212780596
90	5.206345172
91	5.197603235
92	5.186533071
93	5.182185788
94	5.171870188
95	5.163542452
96	5.163119374
97	5.15256374
98	5.144877981
99	5.140240422
