iter	Passed	Remaining
0	142	142472
1	144	72117
2	146	48657
3	148	36970
4	150	29928
5	152	25205
6	153	21824
7	155	19314
8	158	17398
9	159	15820
10	161	14525
11	163	13445
12	165	12534
13	166	11745
14	168	11043
15	169	10431
16	170	9886
17	172	9387
18	173	8939
19	174	8535
20	175	8168
21	176	7828
22	176	7516
23	177	7229
24	178	6965
25	179	6722
26	180	6494
27	180	6282
28	181	6085
29	182	5905
30	183	5737
31	184	5583
32	185	5432
33	186	5290
34	187	5156
35	187	5031
36	188	4912
37	189	4800
38	190	4693
39	191	4591
40	192	4494
41	193	4403
42	193	4314
43	194	4231
44	195	4150
45	196	4074
46	197	4000
47	198	3929
48	198	3861
49	199	3797
50	200	3735
51	201	3674
52	202	3616
53	203	3559
54	204	3505
55	204	3452
56	205	3401
57	206	3351
58	207	3303
59	207	3257
60	208	3212
61	209	3169
62	210	3126
63	211	3087
64	211	3047
65	212	3009
66	213	2972
67	214	2936
68	215	2901
69	215	2867
70	216	2834
71	217	2801
72	218	2770
73	218	2740
74	219	2710
75	220	2681
76	221	2652
77	222	2625
78	222	2598
79	223	2572
80	224	2546
81	225	2521
82	225	2492
83	226	2469
84	227	2446
85	228	2423
86	228	2401
87	229	2379
88	230	2358
89	231	2337
90	231	2316
91	232	2296
92	233	2277
93	234	2258
94	235	2239
95	235	2220
96	236	2202
97	237	2184
98	238	2167
99	238	2150
100	239	2134
101	240	2117
102	241	2101
103	242	2085
104	242	2070
105	243	2055
106	244	2040
107	245	2026
108	246	2011
109	246	1997
110	247	1983
111	248	1969
112	249	1956
113	249	1942
114	250	1929
115	251	1916
116	252	1903
117	252	1890
118	253	1878
119	254	1866
120	255	1854
121	255	1841
122	256	1830
123	257	1819
124	258	1808
125	259	1797
126	259	1785
127	260	1775
128	261	1764
129	262	1754
130	262	1744
131	263	1734
132	264	1724
133	265	1715
134	266	1706
135	267	1697
136	268	1688
137	268	1680
138	269	1671
139	270	1663
140	271	1654
141	272	1644
142	273	1636
143	274	1628
144	274	1620
145	275	1612
146	276	1604
147	277	1596
148	278	1588
149	278	1580
150	279	1573
151	280	1565
152	281	1558
153	282	1551
154	283	1544
155	284	1537
156	285	1530
157	285	1523
158	286	1516
159	287	1510
160	288	1501
161	289	1494
162	289	1488
163	290	1481
164	291	1475
165	292	1468
166	293	1462
167	294	1457
168	295	1452
169	296	1447
170	297	1441
171	298	1436
172	299	1433
173	300	1428
174	302	1425
175	303	1419
176	304	1416
177	305	1412
178	306	1407
179	308	1403
180	309	1400
181	310	1395
