iter	RMSE
0	14.19668803
1	13.78052728
2	13.38290657
3	13.01226985
4	12.63872434
5	12.29153621
6	11.98673619
7	11.71219362
8	11.41029489
9	11.10033181
10	10.7874248
11	10.54100363
12	10.25432042
13	9.978311205
14	9.715259396
15	9.456109529
16	9.223459505
17	9.031237547
18	8.817804481
19	8.602520112
20	8.404679587
21	8.204297348
22	8.012339736
23	7.832246168
24	7.665798989
25	7.499709207
26	7.358886442
27	7.202836314
28	7.044872182
29	6.913064224
30	6.781456621
31	6.650249259
32	6.543688393
33	6.434951431
34	6.332089697
35	6.219910016
36	6.121815665
37	6.025968641
38	5.919793235
39	5.830002662
40	5.736917174
41	5.650383729
42	5.571174744
43	5.50090704
44	5.41939926
45	5.342219354
46	5.277152966
47	5.213370277
48	5.149922795
49	5.088849744
50	5.034155453
51	4.983198665
52	4.933949643
53	4.881478699
54	4.83990048
55	4.804723968
56	4.758740513
57	4.719347287
58	4.679500923
59	4.639138421
60	4.604767155
61	4.571315782
62	4.547690465
63	4.52048202
64	4.489194516
65	4.458998987
66	4.429960955
67	4.405123779
68	4.380268465
69	4.354016282
70	4.33490297
71	4.314097994
72	4.292586421
73	4.273598615
74	4.258088798
75	4.242273653
76	4.229266627
77	4.212208405
78	4.198354218
79	4.183156485
80	4.168212466
81	4.15235819
82	4.139592028
83	4.126762134
84	4.112073616
85	4.0971258
86	4.087096744
87	4.075963297
88	4.062938278
89	4.052330858
90	4.040471757
91	4.031685609
92	4.020642144
93	4.010606634
94	4.003136973
95	3.992242076
96	3.985902402
97	3.978040963
98	3.969044604
99	3.959314332
100	3.951874371
101	3.942044513
102	3.934345298
103	3.925690232
104	3.919141172
105	3.913293659
106	3.905291123
107	3.898352132
108	3.891755663
109	3.883880393
110	3.878471923
111	3.873305027
112	3.868143573
113	3.862834352
114	3.857990868
115	3.853468847
116	3.848923845
117	3.844673702
118	3.839452978
119	3.833297295
120	3.831234144
121	3.824820013
122	3.821238141
123	3.81365919
124	3.810103505
125	3.801494058
126	3.797184291
127	3.79306175
128	3.788475331
129	3.784623319
130	3.782008873
131	3.780152549
132	3.776477201
133	3.771515741
134	3.767439726
135	3.761961518
136	3.757555542
137	3.753351817
138	3.748276561
139	3.741477098
140	3.738694684
141	3.736085977
142	3.730379651
143	3.726995184
144	3.720944451
145	3.717378399
146	3.71307489
147	3.710368938
148	3.707710347
149	3.702198465
150	3.700199143
151	3.694473929
152	3.690341775
153	3.687694943
154	3.685091531
155	3.682266561
156	3.679166401
157	3.676432617
158	3.674518483
159	3.670702092
160	3.669012806
161	3.66768323
162	3.664007132
163	3.660851974
164	3.657883153
165	3.655567581
166	3.65298577
167	3.649722103
168	3.645161258
169	3.64318517
170	3.637826926
171	3.636658922
172	3.63223315
173	3.629968971
174	3.627008981
175	3.624750454
176	3.622121221
177	3.618851328
178	3.614424628
179	3.610549239
180	3.606268778
181	3.603937844
182	3.602264105
183	3.597487152
184	3.595198482
185	3.592114132
186	3.588884612
187	3.58673498
188	3.584502442
189	3.578818891
190	3.576150334
191	3.572190248
192	3.567849067
193	3.566122568
194	3.563053607
195	3.560195726
196	3.556377909
197	3.554879378
198	3.552482452
199	3.551050415
200	3.549393719
201	3.545694458
202	3.544094372
203	3.541358908
204	3.5384835
205	3.536234741
206	3.534778014
207	3.534159213
208	3.530200716
209	3.527052812
210	3.52397821
211	3.520082775
212	3.516556479
213	3.515232665
214	3.510914376
215	3.509410658
216	3.506306711
217	3.503834956
218	3.50189528
219	3.50080563
220	3.499317435
221	3.493598631
222	3.491421478
223	3.489827634
224	3.487376524
225	3.484628167
226	3.480859476
227	3.474275943
228	3.471362295
229	3.470427243
230	3.466702506
231	3.465726816
232	3.463488979
233	3.459721822
234	3.458674023
235	3.454989388
236	3.453418704
237	3.451255262
238	3.449268805
239	3.445005317
240	3.443596943
241	3.441584693
242	3.43940697
243	3.436469747
244	3.432992722
245	3.431791555
246	3.431166965
247	3.430515956
248	3.429027993
249	3.428472444
250	3.426871062
251	3.426285054
252	3.420475685
253	3.419103936
254	3.41817714
255	3.416941387
256	3.412298388
