iter	Passed	Remaining
0	2	2070
1	3	1743
2	4	1569
3	6	1518
4	7	1445
5	8	1384
6	9	1367
7	10	1326
8	11	1312
9	13	1315
10	14	1330
11	16	1377
12	18	1380
13	19	1366
14	20	1340
15	21	1327
16	22	1319
17	23	1295
18	24	1286
19	26	1293
20	27	1283
21	28	1268
22	29	1255
23	30	1255
24	32	1260
25	33	1254
26	34	1252
27	36	1262
28	37	1254
29	38	1243
30	39	1235
31	40	1226
32	41	1219
33	42	1209
34	43	1204
35	44	1198
36	45	1194
37	47	1193
38	48	1189
39	49	1176
40	50	1181
41	52	1187
42	53	1186
43	54	1184
44	56	1200
45	58	1203
46	59	1202
47	60	1201
48	62	1210
49	63	1211
50	67	1252
51	69	1258
52	70	1255
53	71	1249
54	72	1249
55	73	1245
56	74	1239
57	75	1232
58	77	1234
59	78	1234
60	79	1230
61	80	1223
62	81	1216
63	83	1213
64	84	1211
65	85	1209
66	86	1204
67	87	1199
68	88	1193
69	89	1192
70	91	1191
71	92	1193
72	93	1189
73	95	1194
74	97	1200
75	98	1201
76	99	1198
77	101	1200
78	102	1198
79	104	1196
80	105	1192
81	106	1191
82	108	1198
83	109	1198
84	110	1194
85	112	1195
86	113	1191
87	114	1188
88	117	1198
89	119	1203
90	120	1201
91	121	1197
92	122	1197
93	124	1199
94	125	1198
95	126	1195
96	129	1203
97	130	1203
98	132	1202
99	134	1209
100	135	1209
101	137	1207
102	138	1209
103	140	1210
104	141	1209
105	142	1204
106	143	1201
107	145	1197
108	147	1204
109	149	1213
110	151	1214
111	154	1224
112	155	1222
113	157	1221
114	159	1224
115	160	1223
116	161	1221
117	163	1221
118	166	1230
119	167	1226
120	168	1222
121	169	1219
122	170	1212
123	170	1207
124	171	1203
125	173	1200
126	174	1197
127	175	1194
128	177	1201
129	179	1199
130	180	1197
131	181	1192
132	182	1188
133	183	1185
134	184	1182
135	185	1179
136	186	1177
137	188	1176
138	189	1175
139	190	1171
140	191	1169
141	192	1165
142	194	1163
143	195	1160
144	196	1159
145	197	1156
146	198	1154
147	199	1151
148	201	1148
149	202	1146
150	203	1143
151	204	1140
152	205	1136
153	206	1133
154	207	1131
155	209	1134
156	211	1133
157	212	1130
158	213	1128
159	214	1128
160	216	1126
161	217	1124
162	218	1122
163	219	1121
164	221	1120
165	222	1119
166	224	1117
167	225	1115
168	226	1112
169	227	1109
170	229	1110
171	230	1108
172	231	1106
173	232	1105
174	234	1105
175	235	1102
176	236	1099
177	237	1097
178	238	1094
179	239	1091
180	240	1089
181	241	1086
182	242	1083
183	244	1083
184	246	1085
185	247	1083
186	248	1081
187	249	1078
188	250	1075
189	252	1076
190	253	1074
191	254	1071
192	255	1069
193	256	1067
194	257	1064
195	259	1064
196	260	1062
197	261	1059
198	262	1058
199	264	1057
200	265	1054
201	266	1051
202	267	1049
203	268	1048
204	269	1045
205	270	1043
206	271	1041
207	272	1037
208	273	1035
209	274	1034
210	276	1032
211	277	1030
212	278	1030
213	280	1028
214	281	1026
215	282	1023
216	283	1022
217	284	1020
218	285	1019
219	287	1017
220	289	1019
221	291	1020
222	292	1019
223	293	1018
224	295	1016
225	296	1015
226	297	1013
227	298	1011
228	299	1009
229	301	1009
230	302	1008
231	304	1007
232	307	1010
233	308	1009
234	309	1007
235	310	1006
236	312	1004
237	313	1002
238	314	1001
239	315	1000
240	317	999
241	318	998
242	320	999
243	321	997
244	322	995
